title,console,genre,publisher,developer
Assassin's Creed: Brotherhood,X360,Action,Ubisoft,Ubisoft Montreal
LEGO Star Wars: The Video Game,PS2,Action,Eidos Interactive,Traveller's Tales
James Bond 007: Agent Under Fire,PS2,Shooter,Electronic Arts,EA Redwood Shores
Rugrats in Paris: The Movie,PS,Action,THQ,Avalanche Software
NBA 2K17,PS4,Sports,2K Sports,Visual Concepts
Mortal Kombat X,PS4,Fighting,Warner Bros. Interactive Entertainment,NetherRealm Studios
FIFA Soccer 2004,PS2,Sports,EA Sports,EA Canada
Borderlands,X360,Shooter,2K Games,Gearbox Software
Battlefield: Bad Company 2,X360,Shooter,Electronic Arts,EA Digital Illusions CE
LEGO Batman: The Videogame,X360,Adventure,Warner Bros. Interactive,Traveller's Tales
Halo: The Master Chief Collection,XOne,Shooter,Microsoft Studios,343 Industries
Grand Theft Auto 2,PS,Action,Rockstar Games,DMA Design
Spider-Man 2,PS2,Action,Activision,Treyarch
FIFA Soccer 2003,PS2,Sports,EA Sports,EA Canada
Gears of War 4,XOne,Shooter,Microsoft Studios,The Coalition
The Elder Scrolls V: Skyrim Special Edition,PS4,Role-Playing,Bethesda Softworks,Bethesda Softworks
Watch Dogs 2,PS4,Action,Ubisoft,Ubisoft
WWF War Zone,PS,Fighting,Acclaim Entertainment,Iguana Entertainment
NBA 2K18,PS4,Sports,2K Sports,Visual Concepts
James Bond 007: Nightfire,PS2,Shooter,Electronic Arts,Eurocom Entertainment Software
Star Wars Episode III: Revenge of the Sith,PS2,Action,LucasArts,The Collective
Max Payne,PS2,Shooter,Rockstar Games,Remedy Entertainment
Madden NFL 16,PS4,Sports,EA Sports,EA Tiburon
The Lord of the Rings: The Return of the King,PS2,Action,Electronic Arts,"Hypnos Entertainment, Inc."
Madden NFL 17,PS4,Sports,EA Sports,EA Tiburon
Gran Turismo (PSP),PSP,Racing,Sony Computer Entertainment,Polyphony Digital
Far Cry 3,PS3,Shooter,Ubisoft,Ubisoft Montreal
True Crime: Streets of LA,PS2,Action,Activision,Luxoflux
L.A. Noire,PS3,Adventure,Rockstar Games,Team Bondi
Enter the Matrix,PS2,Action,Atari,Shiny Entertainment
Assassin's Creed Odyssey,PS4,Action-Adventure,Ubisoft,Ubisoft Quebec
