title,console,genre,publisher,developer
Iconoclasts,PS4,Action-Adventure,Bifrost Entertainment,Joakim Sandberg
In Nightmare,PS4,Action-Adventure,Sony Computer Entertainment,Magicfish Studio
Indiana Jones and the Great Circle,PC,Action-Adventure,Unknown,MachineGames
Infinite: Beyond The Mind,NS,Action-Adventure,Blowfish Studios,Emilie COYO
Invizimals: Battle of the Hunters,iOS,Action-Adventure,Sony Computer Entertainment,Sony Computer Entertainment
Invizimals™ Hidden Challenges,iOS,Action-Adventure,Sony Computer Entertainment,Sony Computer Entertainment
Invizimals™: Revolution,iOS,Action-Adventure,Sony Computer Entertainment,Sony Computer Entertainment
Invizimals™: TV Tracker,And,Action-Adventure,Sony Computer Entertainment,Sony Computer Entertainment
Ittle Dew 2,PC,Action-Adventure,Nicalis,Ludosity Interactive
Kena: Bridge of Spirits,PS5,Action-Adventure,Ember Lab,Ember Lab
Kings of Lorn: The Fall of Ebris,PS4,Action-Adventure,TeamKill Media,TeamKill Media
Knights and Bikes,NS,Action-Adventure,Double Fine Presents,Foam Sword
Kunai,NS,Action-Adventure,The Arcade Crew,TurtleBlaze
Laika: Aged Through Blood,PC,Action-Adventure,Unknown,Brainwash Gang
Lego Fortnite,PC,Action-Adventure,Unknown,Epic Games
LEGO Star Wars: The Skywalker Saga,PS4,Action-Adventure,Warner Bros. Interactive Entertainment,TT Fusion
Light Fall,PC,Action-Adventure,Unknown,Bishop Games
Like a Dragon Gaiden: The Man Who Erased His Name,PC,Action-Adventure,Unknown,Sega
Like a Dragon: Ishin!,PC,Action-Adventure,Unknown,Sega
Little Devil Inside,NS,Action-Adventure,Unknown,Neostream Interactive
Mafia: Definitive Edition,PC,Action-Adventure,2K Games,Hangar 13
Mafia: Trilogy,PS4,Action-Adventure,2K Games,Hangar 13
Marvel's Blade,PC,Action-Adventure,Unknown,Arkane Studios
Marvel's Guardians of the Galaxy,PC,Action-Adventure,Square Enix,Eidos Montreal
Metal Gear Solid Delta: Snake Eater,PC,Action-Adventure,Unknown,Konami Digital Entertainment
Metal Gear Solid: Master Collection Vol. 1,PC,Action-Adventure,Unknown,Konami
MicroMan,NS,Action-Adventure,Glob Games Studio,Glob Games Studio
Minecraft: Dungeons,XOne,Action-Adventure,Microsoft Game Studios,Mojang
Monster Hunter Stories 2: Wings of Ruin,NS,Action-Adventure,Capcom,Capcom
Monstrum,PC,Action-Adventure,Team Junkfish,Team Junkfish
Moonscars,PS5,Action-Adventure,Unknown,Black Mermaid
Mulaka,XOne,Action-Adventure,Unknown,Lienzo
Mundaun,PS5,Action-Adventure,Unknown,Hidden Fields
Neon City Riders,PS4,Action-Adventure,Bromio,Mecha Studios
Odallus: The Dark Call,PC,Action-Adventure,Unknown,JoyMasher
Olija,PC,Action-Adventure,Unknown,Skeleton Crew Studios
Oninaki,PC,Action-Adventure,Square Enix,Tokyo RPG Factory
Onirike,NS,Action-Adventure,Unknown,DevilishGames
Ori and the Will of the Wisps,XS,Action-Adventure,Xbox Game Studios,Moon Studios
Outcast 2: A New Beginning,XS,Action-Adventure,Unknown,Appeal Studios
Outcast: A New Beginning,PC,Action-Adventure,Unknown,Appeal Studios
Overkill's The Walking Dead,PS4,Action-Adventure,505 Games,Overkill Software
Pacific Drive,PC,Action-Adventure,Unknown,Ironwood Studios
Pitfall!,CV,Action-Adventure,Unknown,Activision
Pragmata,PC,Action-Adventure,Capcom,Capcom
Project Resistance,PS4,Action-Adventure,Capcom,Capcom
Pumpkin Jack,NS,Action-Adventure,Headup Games,Headup Games
Quantum Error,PS4,Action-Adventure,TeamKill Media,TeamKill Media
RAD,PC,Action-Adventure,Bandai Namco Entertainment,Double Fine Productions
Recompile,XS,Action-Adventure,Unknown,Phigames
ReCore: Definitive Edition,PC,Action-Adventure,Microsoft Studios,Armature Studio
Resident Evil 3,PC,Action-Adventure,Capcom,Capcom
Resident Evil 4: Separate Ways,PS4,Action-Adventure,Unknown,Capcom
Resident Evil Village - Winters' Expansion,PS4,Action-Adventure,Unknown,Capcom
Resident Evil Village: Shadows of Rose,PC,Action-Adventure,Unknown,Capcom
Resolutiion,PC,Action-Adventure,Unknown,Monolith of Minds
Return,NS,Action-Adventure,Dead Unicorn,Dead Unicorn
Road 96,PS4,Action-Adventure,Unknown,DigixArt
RWBY: Arrowfell,PS5,Action-Adventure,Unknown,WayForward
S.T.A.L.K.E.R. 2,XS,Action-Adventure,GSC Game World,GSC Game World
S.T.A.L.K.E.R. 2: Heart of Chornobyl,XS,Action-Adventure,Unknown,GSC Game World
Saints Row (2022),PS5,Action-Adventure,Unknown,Volition
Salt and Sacrifice,PC,Action-Adventure,Ska Studios,Ska Studios
Samurai Jack: Battle Through Time,NS,Action-Adventure,Adult Swim,Soleil Software Studio Inc.
Sand Land,PS4,Action-Adventure,Unknown,"ILCA, Inc."
Scars Above,PC,Action-Adventure,Unknown,Mad Head Games
Sea of Thieves: A Pirate's Life,XOne,Action-Adventure,Unknown,Rare Ltd.
Sea of Thieves: Legend of Monkey Island,XS,Action-Adventure,Unknown,Rare Ltd.
Secret Neighbor,PC,Action-Adventure,TinyBuild Games,Dynamic Pixels
Senua's Saga: Hellblade 2,XS,Action-Adventure,Xbox Game Studios,Ninja Theory
Shakedown: Hawaii,WiiU,Action-Adventure,Vblank Entertainment Inc.,Vblank Entertainment Inc.
Shenmue III,PS4,Action-Adventure,Deep Silver,Ys Net
Shinsekai: Into the Depths,NS,Action-Adventure,Capcom,Capcom
Signalis,NS,Action-Adventure,Unknown,rose-engine
Skull & Bones,PS4,Action-Adventure,Ubisoft,Ubisoft Singapore
Smelter,NS,Action-Adventure,Unknown,X Plus Company Limited
Solar Ash,PS5,Action-Adventure,Annapurna Interactive,Heart Machine
Song in the Smoke,PS5,Action-Adventure,Unknown,17-Bit
Souldiers,XOne,Action-Adventure,Unknown,Retro Forge
Soulstice,PS5,Action-Adventure,Unknown,Reply Game Studios
South of Midnight,PC,Action-Adventure,Unknown,Compulsion Games
Sparklite,PC,Action-Adventure,Unknown,Red Blue Games
Spelunky 2,PS4,Action-Adventure,BlitWorks,"Mossmouth, LLC"
SpongeBob SquarePants: The Cosmic Shake,NS,Action-Adventure,Unknown,Purple Lamp
Star Child,XOne,Action-Adventure,Unknown,Playful Corp.
Star Control 3,All,Action-Adventure,Accolade,Legend Entertainment
Star Fox 64,WiiU,Action-Adventure,Unknown,Nintendo
Star Trek Prodigy: Supernova,PS5,Action-Adventure,Unknown,Outright Games
Star Wars Jedi: Survivor,PC,Action-Adventure,Unknown,Respawn Entertainment
Star Wars Outlaws,PC,Action-Adventure,Unknown,Massive Entertainment
State of Decay 3,PC,Action-Adventure,Xbox Game Studios,Undead Labs
Subnautica: Below Zero,PC,Action-Adventure,Unknown,Unknown Worlds Entertainment
Summer in Mara,NS,Action-Adventure,Unknown,Chibig
Super Crazy Rhythm Castle,NS,Action-Adventure,Unknown,Second Impact Games
Super Epic: The Entertainment War,PS4,Action-Adventure,Unknown,Undercoders
Synduality,XS,Action-Adventure,Unknown,Game Studio
Tamarin,PC,Action-Adventure,Unknown,Chameleon Games
TASOMACHI: Behind the Twilight,PC,Action-Adventure,Unknown,Orbital Express
Tchia,PC,Action-Adventure,Unknown,Awaceb
Tentacular,PS5,Action-Adventure,Unknown,Firepunchd Games UG
The Aquatic Adventure of the Last Human,XOne,Action-Adventure,Digerati,YCJY
The Blackout Club,PC,Action-Adventure,Unknown,Question
The Callisto Protocol,PS5,Action-Adventure,Unknown,Striking Distance Studios
The Callisto Protocol - Final Transmission,XS,Action-Adventure,Unknown,Striking Distance Studios
The Church in the Darkness,PC,Action-Adventure,Paranoid Productions,Paranoid Productions
The Dark Pictures Anthology: House of Ashes,PC,Action-Adventure,Unknown,Supermassive Games Ltd.
The Falconeer,XS,Action-Adventure,Unknown,Tomas Sala
The Fall Part 2: Unbound,Linux,Action-Adventure,Unknown,Over the Moon
The Flame in the Flood,PS4,Action-Adventure,Unknown,The Molasses Flood
The friends of Ringo Ishikawa,NS,Action-Adventure,CIRCLE Entertainment,yeo
The Gunk,PC,Action-Adventure,Thunderful Publishing AB,Image & Form Games
The Knight Witch,XS,Action-Adventure,Unknown,Super Mega Team
The Last Case of Benedict Fox,PC,Action-Adventure,Unknown,Plot Twist
The Last of Us: Left Behind,PS3,Action-Adventure,Sony Computer Entertainment,Naughty Dog
The Lord of the Rings: Return to Moria,PC,Action-Adventure,Unknown,Free Range Games
The Outlast Trials,XOne,Action-Adventure,Unknown,Red Barrels
The Sinking City,PC,Action-Adventure,Bigben Interactive,Frogwares
The Surge 2,PS4,Action-Adventure,Focus Home Interactive,DECK13 Interactive
"The Surge: The Good, The Bad, and The Augmented",PS4,Action-Adventure,Unknown,DECK13 Interactive
The Survivalists,PC,Action-Adventure,Team17,Team17
The Touryst,XOne,Action-Adventure,Unknown,Shinen Multimedia
The Wonderful 101: Remastered,NS,Action-Adventure,PlatinumGames,PlatinumGames
Those Who Remain,PS4,Action-Adventure,Wired Productions,Camel 101
Tomb Raider I-III Remastered,PS4,Action-Adventure,Aspyr,Aspyr
Transistor,NS,Action-Adventure,Supergiant Games,Supergiant Games
Trash Sailors,XOne,Action-Adventure,Unknown,fluckyMachine
Tribes of Midgard,PC,Action-Adventure,Gearbox Publishing,Norsfell
Trine 4: The Nightmare Prince,XOne,Action-Adventure,Modus Games,Frozenbyte
Tunic,PS4,Action-Adventure,Finji,Andrew Shouldice
Turnip Boy Commits Tax Evasion,PC,Action-Adventure,Unknown,Snoozy Kazoo
Turnip Boy Robs a Bank,XOne,Action-Adventure,Unknown,Snoozy Kazoo
ULTROS,PC,Action-Adventure,Unknown,El Huervo
Under a Rock,XS,Action-Adventure,Unknown,Nordic Trolls
Unholy,PC,Action-Adventure,Unknown,Duality Games
UnMetal,PS4,Action-Adventure,Unknown,Unepic Entertainment
Unsighted,PC,Action-Adventure,Unknown,Studio Pixel Punk
Until You Fall,PC,Action-Adventure,Unknown,Schell Games
Warlocks 2: God Slayers,NS,Action-Adventure,Unknown,Frozen District
Watch Dogs Legion,XS,Action-Adventure,Ubisoft,Ubisoft Toronto
Wavetale,PC,Action-Adventure,Unknown,Thunderful Development
Windbound,XOne,Action-Adventure,Deep Silver,5 Lives Studios
Wizard with a Gun,PC,Action-Adventure,Unknown,Galvanic Games
Yakuza: Like A Dragon,PS5,Action-Adventure,Sega,Sega
Yomawari: Lost in the Dark,All,Action-Adventure,Unknown,Nippon Ichi Software
Battle Chess,All,Board Game,Interplay Productions,Interplay Productions
Carcassonne,NS,Board Game,Asmodee Digital,Asmodee Digital
CATAN - Console Edition,PS5,Board Game,Unknown,Nomad Games
Catan Universe,NS,Board Game,Asmodee Digital,Asmodee Digital
Fable Fortune,PC,Board Game,Mediatonic,Mediatonic
Othello,NS,Board Game,Arc System Works,Arc System Works
The Lord of the Rings: Adventure Card Game,NS,Board Game,Asmodee Digital,Fantasy Flight Interactive
UNO,NS,Board Game,Ubisoft,Ubisoft
Wingspan,NS,Board Game,Unknown,Monster Couch
Art Academy,Series,Education,Nintendo,Headstrong Games
3D Dinosaur Adventure,PC,Education,Unknown,Knowledge Adventure
Island Saver,XOne,Education,Unknown,Stormcloud Games
Tekken,Series,Fighting,Namco,Bandai Namco Studios
Street Fighter,Series,Fighting,Capcom,Capcom
Naruto: Ultimate Ninja,Series,Fighting,Bandai Namco Entertainment,CyberConnect2
SoulCalibur,Series,Fighting,Namco,Project Soul
Dragon Ball Xenoverse,Series,Fighting,Bandai Namco Games,Dimps Corporation
Mortal Kombat 11,All,Fighting,Warner Bros. Interactive Entertainment,NetherRealm Studios
Street Fighter II,All,Fighting,Capcom,Capcom
Dragon Ball FighterZ,All,Fighting,Bandai Namco Entertainment,Arc System Works
Street Fighter II: The World Warrior,SNES,Fighting,Capcom,Capcom
Tekken 6,All,Fighting,Namco Bandai Games,Namco Bandai Games
Jump Force,All,Fighting,Bandai Namco Entertainment,Spike Chunsoft
Naruto Shippuden: Ultimate Ninja Storm Trilogy,All,Fighting,Bandai Namco Entertainment,CyberConnect2
Killer Instinct,SNES,Fighting,Nintendo,Rare Ltd.
SoulCalibur IV,All,Fighting,Namco Bandai Games,Project Soul
Demon Slayer: Kimetsu no Yaiba – The Hinokami Chronicles,All,Fighting,Sega,CyberConnect2
Mortal Kombat 1,All,Fighting,Warner Bros.,NetherRealm Studios
Street Fighter 6,All,Fighting,Capcom,Capcom
Pro Wrestling,NES,Fighting,Nintendo,TRY Corporation
Stick Fight: The Game,PC,Fighting,Unknown,Landfall West
Dissidia: Final Fantasy,PSP,Fighting,Square Enix,Square Enix
Street Fighter II': Special Champion Edition,GEN,Fighting,Capcom,Capcom
Super Street Fighter IV,PS3,Fighting,Capcom,Capcom / Dimps Corporation
Granblue Fantasy: Versus,All,Fighting,Xseed Games,Arc System Works
Guilty Gear -Strive-,All,Fighting,Arc System Works,Arc System Works
Pokken Tournament,WiiU,Fighting,Nintendo,Namco Bandai Games
WWF WrestleMania 2000,N64,Fighting,THQ,Aki Corporation
Dragon Ball Z: Shin Budokai,PSP,Fighting,Atari,Dimps Corporation
Melty Blood: Type Lumina,All,Fighting,Delightworks,French-Bread
Dead or Alive 6,All,Fighting,Koei Tecmo,Team Ninja
ClayFighter,All,Fighting,Interplay Productions,Visual Concepts
Dead or Alive 5 Ultimate,All,Fighting,Tecmo Koei,Team Ninja
Dragon Ball Z: Shin Budokai - Another Road,PSP,Fighting,Atari,Dimps Corporation
Brawlout,NS,Fighting,Merge Games,Angry Mob Games
3 Count Bout,NG,Fighting,SNK,SNK Corporation
Aa Harimanada,GG,Fighting,Sega,Sega
AAA: El Videojuego,Wii,Fighting,Unknown,Sabarasa Studios
Advanced V.G.,SAT,Fighting,TGL,TGL
Aggressors of Dark Kombat,VC,Fighting,ADK,ADK Corporation
Art of Fighting,PSN,Fighting,SNK Playmore,SNK Corporation
Art of Fighting 2,NG,Fighting,SNK,SNK Corporation
Asuka 120% Excellent: Burning Fest. Excellent,PS,Fighting,Sony Computer Entertainment,Family Soft
Asuka 120% Final: Burning Fest. Final,PSN,Fighting,Family Soft,Family Soft
Asuka 120% Special: Burning Fest. Special,PSN,Fighting,Family Soft,Family Soft
Ballz 3D,SNES,Fighting,Accolade,PF.Magic
Best of the Best: Championship Karate,GEN,Fighting,Electro Brain,Electro Brain
BlazBlue: Continuum Shift - Makoto Nanaya,PSN,Fighting,Unknown,Arc System Works
BlazBlue: Continuum Shift - Platinum the Trinity,XBL,Fighting,Aksys Games,Arc System Works
BlazBlue: Continuum Shift - Valkenhayn R. Hellsing,PSN,Fighting,Unknown,Arc System Works
Brutal: Paws of Fury,SNES,Fighting,CyberSoft,Eurocom Entertainment Software
Burning Fight,VC,Fighting,D4 Enterprise,SNK Corporation
Champion Wrestler,VC,Fighting,Taito,Taito Corporation
China Warrior,PCE,Fighting,Hudson Soft,Hudson Soft
Cyberbots: Fullmetal Madness,SAT,Fighting,Capcom,Capcom
David Douillet Judo,GC,Fighting,Big Ben Interactive,10Tacle Studios Belgium
Deadliest Warrior: Legends,PSN,Fighting,Unknown,"Pipeworks Software, Inc."
Deadliest Warrior: The Game,XBL,Fighting,Spike,Pipeworks Software
Digital Champ: Battle Boxing,PCE,Fighting,Naxat Soft,Naxat Soft
Divekick,XOne,Fighting,Namco Networks America Inc.,Namco Networks America Inc.
Dragon: The Bruce Lee Story,AJ,Fighting,Atari,Virgin Interactive
DreamMix TV: World Fighters,PS2,Fighting,Hudson Soft,Hudson Soft
Dungeon Fighter Online,PC,Fighting,Nexon America,NeoPle
Dynamite Cop!,DC,Fighting,Sega,Sega-AM1
Eternal Champions,GEN,Fighting,Sega,Sega
Fatal Fury 3: Road to the Final Victory,VC,Fighting,D4 Enterprise,SNK Corporation
Fighters' Impact,PSN,Fighting,Taito,Taito Corporation
Fighting Street,PCE,Fighting,NEC,Alfa System
Fire ProWrestling 2nd Bout,VC,Fighting,Spike,Human Entertainment
Fire ProWrestling 3: Legend Bout,PCE,Fighting,Human Entertainment,Human Entertainment
Fire ProWrestling: Combination Tag,PCE,Fighting,Human Entertainment,Human Entertainment
Foreman For Real,SNES,Fighting,Acclaim Entertainment,Software Creations
Galaxy Fight: Universal Warriors,VC,Fighting,D4 Enterprise,SunSoft
Garou: Mark of the Wolves,NG,Fighting,SNK,SNK Corporation
George Foreman's KO Boxing,NES,Fighting,Acclaim Entertainment,Beam Software
Godzilla,PCE,Fighting,Hudson Soft,Alfa System
International Karate +,PS,Fighting,Ignition Entertainment,Ignition Entertainment
Joy Mech Fight,VC,Fighting,Nintendo,Nintendo R&D1
Justice League Task Force,SNES,Fighting,Sunsoft,Blizzard Entertainment
Kamen Rider,PS,Fighting,Bandai,Bandai
Karateka,7800,Fighting,Atari,"IBID, Inc."
Kizuna Encounter: Super Tag Battle,VC,Fighting,D4 Enterprise,SNK Corporation
Koutetsu Reiiki: Steeldom,SAT,Fighting,TechnoSoft,"TechnoSoft Co., Ltd."
Mad Stalker: Full Metal Force,PCE,Fighting,NEC Interchannel,Family Soft
Martial Arts: Capoeira Fighters,DS,Fighting,Unknown,Twelve Interactive
Mortal Kombat: Arcade Kollection,XBL,Fighting,Unknown,NetherRealm Studios / Other Ocean Interactive
Mortal Kombat: Freddy Krueger,XBL,Fighting,Unknown,Netherrealms
Mortal Kombat: Kenshi,XBL,Fighting,Unknown,Netherrealms
Mortal Kombat: Rain,XBL,Fighting,Unknown,Netherrealms
Mortal Kombat: Skarlet,PSN,Fighting,Unknown,Netherrealms
Natsume Championship Wrestling,SNES,Fighting,Natsume,Natsume
Overruled!,OSX,Fighting,Team17 Software,Dlala Studios
Persona 4: The Ultimate in Mayonaka Arena,X360,Fighting,Unknown,Arc System Works
Pro Wrestling Sengokuden: Hyper Tag Match,PSN,Fighting,GungHo,KSS
Punch-Out!! Featuring Mr. Dream,NES,Fighting,Nintendo,Nintendo IRD
Real Bout Fatal Fury,PSN,Fighting,SNK Playmore,SNK Corporation
Real Steel,PSN,Fighting,Yuke's,Yuke's
Resurrection: Rise 2,PC,Fighting,Acclaim Entertainment,Mirage Tech
Reverthion,PSN,Fighting,TechnoSoft,"TechnoSoft Co., Ltd."
Riddick Bowe Boxing,GG,Fighting,Extreme Entertainment Group,Equilibrium
Rise of the Robots,GG,Fighting,Acclaim Entertainment,Mirage
San Goku Shi III,MS,Fighting,Unknown,Koei
Savage Reign,NG,Fighting,SNK,SNK Corporation
Shaq-Fu,SNES,Fighting,Electronic Arts,Delphine Software International
Skullgirls,PS4,Fighting,Unknown,Reverge Labs
Spectral vs Generation,PSP,Fighting,Midas Interactive Entertainment,Idea Factory / International Games System (IGS)
Street Fighter II': Champion Edition,PCE,Fighting,NEC,Capcom
Street Fighter III: 3rd Strike,PS2,Fighting,Capcom,Capcom
Street Fighter III: 3rd Strike Online Edition,PSN,Fighting,Capcom,Capcom
Super Street Fighter II Turbo: HD Remix,PSN,Fighting,Capcom,Backbone Emeryville
The King of Fighters 2001,NG,Fighting,Unknown,Eolith
The King of Fighters 2002,DC,Fighting,Playmore,Eolith
The King of Fighters 2003,NG,Fighting,SNK Playmore,SNK Playmore Corporation
Title Match Pro Wrestling,2600,Fighting,Absolute Entertainment,Absolute Entertainment
Ultimate Mortal Kombat 3,XBL,Fighting,Midway Games,Digital Eclipse
Urban Champion,NES,Fighting,Nintendo,Nintendo R&D1
Virtua Fighter Animation,GG,Fighting,Sega,Sega
VR Troopers,GG,Fighting,Sega,Syrox Developments
Waku Waku 7,NG,Fighting,SNK,SunSoft
WeaponLord,SNES,Fighting,Namco,Visual Concepts
World Heroes,GEN,Fighting,Sega,Sega
World Heroes 2,VC,Fighting,D4 Enterprise,ADK
World Heroes 2 Jet,NG,Fighting,SNK,ADK Corporation
World Heroes Perfect,VC,Fighting,D4 Enterprise,ADK Corporation
WWE Brawl,X360,Fighting,Unknown,THQ
WWF King of the Ring,GB,Fighting,LJN,Eastridge Technology
WWF Raw (1994),GEN,Fighting,Acclaim Entertainment,Sculptured Software
WWF Royal Rumble,SNES,Fighting,LJN,Sculptured Software
WWF Super Wrestlemania,GEN,Fighting,Flying Edge,Sculptured Software
WWF WrestleMania: Steel Cage Challenge,NES,Fighting,LJN,Sculptured Software
WWF WrestleMania: The Arcade Game,PC,Fighting,Acclaim Entertainment,Sculptured Software
X-Men: Mutant Academy,GB,Fighting,Activision,Crawfish Interactive
Yie Ar Kung Fu,XBL,Fighting,Konami,Digital Eclipse
ACA NEOGEO ART OF FIGHTING,XOne,Fighting,Hamster Corporation,SNK Corporation
ACA NEOGEO ART OF FIGHTING 2,PS4,Fighting,Hamster Corporation,SNK Corporation
ACA NEOGEO ART OF FIGHTING 3,XOne,Fighting,Hamster Corporation,SNK Corporation
ACA NEOGEO FATAL FURY,PS4,Fighting,Hamster Corporation,SNK Corporation
ACA NEOGEO FATAL FURY 2,PS4,Fighting,Hamster Corporation,SNK Corporation
ACA NEOGEO FATAL FURY 3,NS,Fighting,Hamster Corporation,SNK Corporation
ACA NEOGEO FATAL FURY SPECIAL,XOne,Fighting,Hamster Corporation,SNK Corporation
ACA NEOGEO GALAXY FIGHT: UNIVERSAL WARRIORS,NS,Fighting,Hamster Corporation,SunSoft
ACA NEOGEO KARNOV'S REVENGE,PS4,Fighting,Hamster Corporation,Data East
ACA NEOGEO REAL BOUT FATAL FURY,NS,Fighting,Hamster Corporation,SNK Corporation
ACA NEOGEO REAL BOUT FATAL FURY SPECIAL,XOne,Fighting,Hamster Corporation,SNK Corporation
ACA NEOGEO SAMURAI SHODOWN,NS,Fighting,Hamster Corporation,SNK Corporation
ACA NEOGEO SAMURAI SHODOWN II,PS4,Fighting,Hamster Corporation,SNK Corporation
ACA NEOGEO SAMURAI SHODOWN III,PS4,Fighting,Hamster Corporation,SNK Corporation
ACA NEOGEO SAMURAI SHODOWN IV,PS4,Fighting,Hamster Corporation,SNK Corporation
ACA NEOGEO SAMURAI SHODOWN V,NS,Fighting,Hamster Corporation,SNK Corporation
ACA NEOGEO THE KING OF FIGHTERS '94,XOne,Fighting,Hamster Corporation,SNK Corporation
ACA NEOGEO THE KING OF FIGHTERS '95,PS4,Fighting,Hamster Corporation,SNK Corporation
ACA NEOGEO THE KING OF FIGHTERS '96,XOne,Fighting,Hamster Corporation,SNK Corporation
ACA NEOGEO THE KING OF FIGHTERS '97,PS4,Fighting,Hamster Corporation,SNK Corporation
ACA NEOGEO THE KING OF FIGHTERS '98,XOne,Fighting,Hamster Corporation,SNK Corporation
ACA NEOGEO THE KING OF FIGHTERS '99,NS,Fighting,Hamster Corporation,SNK Corporation
ACA NEOGEO THE KING OF FIGHTERS 2000,NS,Fighting,Hamster Corporation,SNK Corporation
ACA NEOGEO THE LAST BLADE,NS,Fighting,Hamster Corporation,SNK Corporation
ACA NEOGEO THE LAST BLADE 2,XOne,Fighting,Hamster Corporation,SNK Corporation
ACA NEOGEO WAKU WAKU 7,XOne,Fighting,Hamster Corporation,SunSoft
ACA NEOGEO WORLD HEROES,XOne,Fighting,Hamster Corporation,SNK Corporation
ACA NEOGEO WORLD HEROES 2,XOne,Fighting,Hamster Corporation,SNK Corporation
ACA NEOGEO WORLD HEROES 2 JET,PS4,Fighting,Hamster Corporation,SNK Corporation
Blade Arcus Rebellion from Shining,NS,Fighting,Sega,Studio Saizensen
Boreal Blade,PC,Fighting,Unknown,Frozenbyte
Bounty Battle,PS4,Fighting,Unknown,DarkScreen Games
Breakers Collection,XOne,Fighting,Unknown,QUByte Interactive
Capcom Fighting Collection,PC,Fighting,Capcom,Capcom
Cobra Kai: The Karate Kid Saga Continues,NS,Fighting,GameMill Entertainment,GameMill Entertainment
DNF Duel,PC,Fighting,Unknown,Arc System Works
Dragon Ball: Sparking! Zero,PC,Fighting,Unknown,Spike Chunsoft
EA Sports UFC 4,PS4,Fighting,EA Sports,Electronic Arts
Fighting EX Layer,PS4,Fighting,Arika,Arika
GigaBash,PS5,Fighting,Unknown,Passion Republic Games
Granblue Fantasy Versus: Rising,PC,Fighting,Unknown,Arc System Works
Guilty Gear XX Accent Core Plus R,PC,Fighting,Arc System Works,Arc System Works
Injustice 2: Legendary Edition,PC,Fighting,Unknown,NetherRealm Studios
Jujutsu Kaisen: Cursed Clash,PC,Fighting,Unknown,Byking
Kill la Kill: IF,PC,Fighting,Arc System Works,Arc System Works
Lego Brawls,XOne,Fighting,Unknown,RED Games
Little Ninja Brothers,WiiU,Fighting,Unknown,Culture Brain
Mighty Fight Federation,PC,Fighting,"Komi Games, Inc","Komi Games, Inc"
Mortal Kombat 11: Aftermath,NS,Fighting,Unknown,NetherRealm Studios
MultiVersus,PS5,Fighting,Unknown,Player First Games
My Hero One’s Justice 2,XOne,Fighting,Bandai Namco Entertainment,Byking
Naruto x Boruto Ultimate Ninja Storm Connections,XOne,Fighting,Unknown,CyberConnect2
Nickelodeon All-Star Brawl,PC,Fighting,GameMill Entertainment,Ludosity
Nickelodeon All-Star Brawl 2,PS4,Fighting,Unknown,Ludosity
One Punch Man: A Hero Nobody Knows,XOne,Fighting,Bandai Namco Entertainment,Bandai Namco Games
Override 2: Super Mech League,PS4,Fighting,Unknown,The Balance Inc
Phantom Breaker: Omnia,PS4,Fighting,Unknown,MAGES. Inc.
Power Rangers: Battle for the Grid,XOne,Fighting,nWay,nWay
Sclash,PS5,Fighting,Unknown,Bevel bakery
Shovel Knight Showdown,WiiU,Fighting,Unknown,Yacht Club Games
Tekken 8,PS5,Fighting,Bandai Namco Entertainment,Bandai Namco Studios
The King of Fighters XV,PS4,Fighting,Unknown,SNK Corporation
The Rumble Fish 2,XS,Fighting,Unknown,Dimps Corporation
Them's Fightin' Herds,PS4,Fighting,Unknown,Mane6
Under Night In-Birth Exe:Late[cl-r],NS,Fighting,Aksys Games,French-Bread
Under Night In-Birth II [Sys:Celes],PC,Fighting,Unknown,French-Bread
WWE 2K20,PC,Fighting,2K Games,Visual Concepts
WWE 2K23,PS4,Fighting,Unknown,Visual Concepts
WWE 2K24,PS4,Fighting,Unknown,Visual Concepts
Wii Fit,Series,Misc,Nintendo,Nintendo
Wii Play,Wii,Misc,Nintendo,Nintendo EAD
Wii Party,Wii,Misc,Nintendo,"Nd Cube Co., Ltd."
Pokémon Pinball,Series,Misc,Nintendo,Jupiter
Big Brain Academy,DS,Misc,Nintendo,Nintendo EAD
Just Dance,Wii,Misc,Ubisoft,Ubisoft Paris
Starbound,PC,Misc,"Infocom, Inc.",Unknown
Counter-Strike,PC,Misc,Sierra Studios,Unknown
Mario Party,N64,Misc,Nintendo,Hudson Soft
Clubhouse Games,DS,Misc,Nintendo,Agenda
Mario Party 2,N64,Misc,Nintendo,Hudson Soft
Mahjong,NES,Misc,Nintendo,Nintendo
Guitar Hero,PS2,Misc,RedOctane,Harmonix Music Systems
Goat Simulator,PC,Misc,Coffee Stain Studios,Unknown
Spintires,PC,Misc,Unknown,Unknown
Capcom Arcade 2nd Stadium,All,Misc,Capcom,Capcom
Game & Watch Gallery,GB,Misc,Nintendo,Nintendo
Teenage Mutant Ninja Turtles: The Cowabunga Collection,All,Misc,Konami,Digital Eclipse
Reus,PC,Misc,Abbey Games,Unknown
Democracy 3,PC,Misc,Positech Games,Unknown
Telltale Games' Poker Night 2,PC,Misc,Telltale Games,Unknown
FORCED,PC,Misc,BetaDwarf,Unknown
Thomas Was Alone,PC,Misc,DECK13 Interactive GmbH,Mike Bithell Games
Out There Somewhere,PC,Misc,Unknown,Unknown
The Swapper,PC,Misc,Facepalm Games,Unknown
Teleglitch,PC,Misc,Paradox Interactive,Unknown
Unepic,PC,Misc,Unknown,@unepic_fran
ibb and obb,PC,Misc,Zen Studios,Unknown
Evoland,PC,Misc,Shiro Games,Unknown
Magic: The Gathering,PC,Misc,Atari,MicroProse
